symbol,security_id,LotSize,underlying,secondary_id
MANINFRA,18226,1.0,NSE_EQ,
SANDUMA,18359,1.0,NSE_EQ,
KARURVYSYA,1838,1.0,NSE_EQ,
CUPID,18520,1.0,NSE_EQ,
DIACABS,18543,1.0,NSE_EQ,
EMSLIMITED,18593,1.0,NSE_EQ,
SJVN,18883,1.0,NSE_EQ,
JSWINFRA,19020,1.0,NSE_EQ,
ITBEES,19084,1.0,NSE_EQ,
UDS,19113,1.0,NSE_EQ,
HDFCGOLD,19543,1.0,NSE_EQ,
ITETF,19633,1.0,NSE_EQ,
GOLDIETF,19679,1.0,NSE_EQ,
ADFFOODS,19761,1.0,NSE_EQ,
JWL,20224,1.0,NSE_EQ,
CGCL,20329,1.0,NSE_EQ,
IOLCP,20413,1.0,NSE_EQ,
NACLIND,20425,1.0,NSE_EQ,
JAMNAAUTO,20778,1.0,NSE_EQ,
SUMEETINDS,20790,1.0,NSE_EQ,
MUTHOOTMF,20831,1.0,NSE_EQ,
PSB,21001,1.0,NSE_EQ,
TEJASNET,21131,1.0,NSE_EQ,
JYOTICNC,21334,1.0,NSE_EQ,
TATSILV,21428,1.0,NSE_EQ,
COCHINSHIP,21508,1.0,NSE_EQ,
COMSYN,21578,1.0,NSE_EQ,
DCAL,21704,1.0,NSE_EQ,
CAPACITE,21749,1.0,NSE_EQ,
LIQUIDCASE,21750,1.0,NSE_EQ,
TEXRAIL,21828,1.0,NSE_EQ,
HFCL,21951,1.0,NSE_EQ,
TIRUPATIFL,22282,1.0,NSE_EQ,
ITIETF,22365,1.0,NSE_EQ,
BANKBETA,22440,1.0,NSE_EQ,
MOREPENLAB,2259,1.0,NSE_EQ,
MRPL,2283,1.0,NSE_EQ,
SMALLCAP,22832,1.0,NSE_EQ,
GOLDCASE,22901,1.0,NSE_EQ,
EXICOM,22947,1.0,NSE_EQ,
MOREALTY,23184,1.0,NSE_EQ,
JAYNECOIND,2331,1.0,NSE_EQ,
AQYLON,23365,1.0,NSE_EQ,
AADHARHFC,23729,1.0,NSE_EQ,
SBISILVER,24366,1.0,NSE_EQ,
FILATEX,24532,1.0,NSE_EQ,
CENTRUM,2454,1.0,NSE_EQ,
AVANTEL,24610,1.0,NSE_EQ,
OLAELEC,24777,1.0,NSE_EQ,
FIRSTCRY,24814,1.0,NSE_EQ,
MANCREDIT,24823,1.0,NSE_EQ,
ELGIRUBCO,24924,1.0,NSE_EQ,
MODEFENCE,24944,1.0,NSE_EQ,
IBULLSLTD,25003,1.0,NSE_EQ,
BCLIND,2513,1.0,NSE_EQ,
TDPOWERSYS,25178,1.0,NSE_EQ,
BAJAJHFL,25270,1.0,NSE_EQ,
PAISALO,25468,1.0,NSE_EQ,
RUPA,25724,1.0,NSE_EQ,
LLOYDSENT,25807,1.0,NSE_EQ,
LEMONTREE,2606,1.0,NSE_EQ,
IT,2627,1.0,NSE_EQ,
PCBL,2649,1.0,NSE_EQ,
SAGILITY,27052,1.0,NSE_EQ,
NTPCGREEN,27176,1.0,NSE_EQ,
EIEL,27213,1.0,NSE_EQ,
RTNINDIA,27297,1.0,NSE_EQ,
VMM,27969,1.0,NSE_EQ,
RCF,2866,1.0,NSE_EQ,
HITECH,2868,1.0,NSE_EQ,
INDOFARM,29025,1.0,NSE_EQ,
SETL,29075,1.0,NSE_EQ,
STALLION,29204,1.0,NSE_EQ,
ITCHOTELS,29251,1.0,NSE_EQ,
DENTA,29256,1.0,NSE_EQ,
MOSCHIP,29459,1.0,NSE_EQ,
MCLOUD,29482,1.0,NSE_EQ,
HEXT,29666,1.0,NSE_EQ,
MSCIINDIA,29758,1.0,NSE_EQ,
NAZARA,2987,1.0,NSE_EQ,
ABFRL,30108,1.0,NSE_EQ,
BHARATSE,30244,1.0,NSE_EQ,
SILVERCASE,30274,1.0,NSE_EQ,
SCI,3048,1.0,NSE_EQ,
CMRGREEN,30893,1.0,NSE_EQ,
RHIM,31163,1.0,NSE_EQ,
TATACHEM,3405,1.0,NSE_EQ,
TFCILTD,3466,1.0,NSE_EQ,
THOMASCOOK,3481,1.0,NSE_EQ,
WALCHANNAG,3736,1.0,NSE_EQ,
RITES,3761,1.0,NSE_EQ,
ZEEL,3812,1.0,NSE_EQ,
MAHLOG,385,1.0,NSE_EQ,
NIACL,399,1.0,NSE_EQ,
AEGISLOG,40,1.0,NSE_EQ,
IFGLEXPOR,436,1.0,NSE_EQ,
KOTHARIPET,4594,1.0,NSE_EQ,
SBCL,4656,1.0,NSE_EQ,
HAPPSTMNDS,48,1.0,NSE_EQ,
ENGINERSIN,4907,1.0,NSE_EQ,
PHARMABEES,4973,1.0,NSE_EQ,
IRCON,4986,1.0,NSE_EQ,
GMDCLTD,5204,1.0,NSE_EQ,
ROLEXRINGS,5279,1.0,NSE_EQ,
J&KBANK,5633,1.0,NSE_EQ,
CUB,5701,1.0,NSE_EQ,
BANKNIFTY1,5851,1.0,NSE_EQ,
PARAS,5911,1.0,NSE_EQ,
INTELLECT,5926,1.0,NSE_EQ,
SOUTHBANK,5948,1.0,NSE_EQ,
ATGL,6066,1.0,NSE_EQ,
FCL,6198,1.0,NSE_EQ,
SONATSOFTW,6596,1.0,NSE_EQ,
SBC,6792,1.0,NSE_EQ,
BSOFT,6994,1.0,NSE_EQ,
JTLIND,7287,1.0,NSE_EQ,
ALPHA,7412,1.0,NSE_EQ,
HEXAGON,750089,1.0,NSE_EQ,
VAML,750174,1.0,NSE_EQ,
VISL,750290,1.0,NSE_EQ,
VOGL,750368,1.0,NSE_EQ,
VEDPOWER,750518,1.0,NSE_EQ,
TURTLEMINT,756090,1.0,NSE_EQ,
GROWWSLVR,756827,1.0,NSE_EQ,
ENRIN,756871,1.0,NSE_EQ,
BELRISE,757102,1.0,NSE_EQ,
AEGISVOPAK,757336,1.0,NSE_EQ,
DIGITIDE,757515,1.0,NSE_EQ,
BLUSPRING,757520,1.0,NSE_EQ,
ATHERENERG,757645,1.0,NSE_EQ,
FISCHER,757658,1.0,NSE_EQ,
SAMBHV,757767,1.0,NSE_EQ,
JSWCEMENT,758460,1.0,NSE_EQ,
RAYMONDREL,758551,1.0,NSE_EQ,
ARFIN,758700,1.0,NSE_EQ,
VIKRAN,758973,1.0,NSE_EQ,
RHETAN,759062,1.0,NSE_EQ,
TATACAP,759265,1.0,NSE_EQ,
PACEDIGITK,759342,1.0,NSE_EQ,
PATELRMART,759439,1.0,NSE_EQ,
VIKRAMSOLR,759453,1.0,NSE_EQ,
LENSKART,759605,1.0,NSE_EQ,
PWL,759723,1.0,NSE_EQ,
EMMVEE,759728,1.0,NSE_EQ,
TMCV,759782,1.0,NSE_EQ,
EUROPRATIK,759797,1.0,NSE_EQ,
GROWW,759806,1.0,NSE_EQ,
PINELABS,759820,1.0,NSE_EQ,
SOLARWORLD,759929,1.0,NSE_EQ,
EXCELSOFT,760007,1.0,NSE_EQ,
FABTECH,760125,1.0,NSE_EQ,
VIDYAWIRES,760224,1.0,NSE_EQ,
MEESHO,760229,1.0,NSE_EQ,
AEQUS,760234,1.0,NSE_EQ,
LEMERITE,760300,1.0,NSE_EQ,
PARKHOSPS,760351,1.0,NSE_EQ,
BHARATCOAL,760726,1.0,NSE_EQ,
KWIL,760946,1.0,NSE_EQ,
CMPDI,761581,1.0,NSE_EQ,
DECNGOLD,762638,1.0,NSE_EQ,
SEIL,762889,1.0,NSE_EQ,
SIKA,762914,1.0,NSE_EQ,
WELSPLSOL,762971,1.0,NSE_EQ,
KISSHT,763294,1.0,NSE_EQ,
RAMCOSYS,7851,1.0,NSE_EQ,
SILVERIETF,7942,1.0,NSE_EQ,
SILVER,8003,1.0,NSE_EQ,
KTKBANK,8054,1.0,NSE_EQ,
SILVERBEES,8080,1.0,NSE_EQ,
AWL,8110,1.0,NSE_EQ,
DCW,817,1.0,NSE_EQ,
MIDCAPETF,8413,1.0,NSE_EQ,
MID150BEES,8506,1.0,NSE_EQ,
NLCINDIA,8585,1.0,NSE_EQ,
MSUMI,8596,1.0,NSE_EQ,
LOWVOL1,8632,1.0,NSE_EQ,
CHOICEIN,8866,1.0,NSE_EQ,
E2E,8937,1.0,NSE_EQ,
HARDWYN,8962,1.0,NSE_EQ,
ROTO,9049,1.0,NSE_EQ,
EQUITASBNK,913,1.0,NSE_EQ,
STLTECH,9313,1.0,NSE_EQ,
IOB,9348,1.0,NSE_EQ,
TRIDENT,9685,1.0,NSE_EQ,
PARADEEP,9741,1.0,NSE_EQ,
