symbol,security_id,LotSize,secondary_id,underlying
VEDL,3063,1.0,,NSE_EQ
SHREECEM,3103,25.0,,NSE_EQ
MCX,31181,1.0,,NSE_EQ
TIINDIA,312,200.0,,NSE_EQ
NBCC,31415,1.0,,NSE_EQ
SIEMENS,3150,175.0,,NSE_EQ
BAJFINANCE,317,1.0,,NSE_EQ
LODHA,3220,1.0,,NSE_EQ
ANGELONE,324,1.0,,NSE_EQ
SRF,3273,200.0,,NSE_EQ
SUNPHARMA,3351,1.0,,NSE_EQ
SUPREMEIND,3363,175.0,,NSE_EQ
TATAELXSI,3411,100.0,,NSE_EQ
CAMS,342,1.0,,NSE_EQ
TATAPOWER,3426,1.0,,NSE_EQ
TATACONSUM,3432,550.0,,NSE_EQ
TMPV,3456,1.0,,NSE_EQ
TATASTEEL,3499,1.0,,NSE_EQ
TITAN,3506,175.0,,NSE_EQ
TORNTPHARM,3518,250.0,,NSE_EQ
ADANIGREEN,3563,1.0,,NSE_EQ
VOLTAS,3718,375.0,,NSE_EQ
WIPRO,3787,1.0,,NSE_EQ
BEL,383,1.0,,NSE_EQ
MARICO,4067,1.0,,NSE_EQ
BHARATFORG,422,500.0,,NSE_EQ
HDFCAMC,4244,300.0,,NSE_EQ
SHRIRAMFIN,4306,1.0,,NSE_EQ
BHEL,438,1.0,,NSE_EQ
MPHASIS,4503,1.0,,NSE_EQ
BANKBARODA,4668,1.0,,NSE_EQ
HDFCLIFE,467,1.0,,NSE_EQ
SONACOMS,4684,1.0,,NSE_EQ
GAIL,4717,1.0,,NSE_EQ
BANKINDIA,4745,1.0,,NSE_EQ
CONCOR,4749,1.0,,NSE_EQ
ICICIBANK,4963,1.0,,NSE_EQ
MAZDOCK,509,1.0,,NSE_EQ
ETERNAL,5097,1.0,,NSE_EQ
INDUSINDBK,5258,1.0,,NSE_EQ
BPCL,526,1.0,,NSE_EQ
BRITANNIA,547,125.0,,NSE_EQ
AXISBANK,5900,1.0,,NSE_EQ
NATIONALUM,6364,1.0,,NSE_EQ
NYKAA,6545,1.0,,NSE_EQ
POLICYBZR,6656,1.0,,NSE_EQ
PAYTM,6705,1.0,,NSE_EQ
JINDALSTEL,6733,1.0,,NSE_EQ
EXIDEIND,676,1.0,,NSE_EQ
CIPLA,694,375.0,,NSE_EQ
HCLTECH,7229,1.0,,NSE_EQ
GLENMARK,7406,375.0,,NSE_EQ
CGPOWER,760,1.0,,NSE_EQ
DABUR,772,1.0,,NSE_EQ
INOXWIND,7852,1.0,,NSE_EQ
ZYDUSLIFE,7929,900.0,,NSE_EQ
DALBHARAT,8075,325.0,,NSE_EQ
BLUESTARCO,8311,325.0,,NSE_EQ
TVSMOTOR,8479,175.0,,NSE_EQ
DRREDDY,881,625.0,,NSE_EQ
EICHERMOT,910,100.0,,NSE_EQ
LICI,9480,1.0,,NSE_EQ
RVNL,9552,1.0,,NSE_EQ
POLYCAB,9590,125.0,,NSE_EQ
DELHIVERY,9599,1.0,,NSE_EQ
KPITTECH,9683,1.0,,NSE_EQ
HAVELLS,9819,500.0,,NSE_EQ
NIFTY,13,65.0,,IDX_I
BANKNIFTY,25,30.0,,IDX_I
CONFIPET,10238,1.0,,NSE_EQ
JISLJALEQS,10397,1.0,,NSE_EQ
NIFTYBEES,10576,1.0,,NSE_EQ
MARKSANS,10579,1.0,,NSE_EQ
MOM30IETF,10585,1.0,,NSE_EQ
OLECTRA,10637,1.0,,NSE_EQ
ZENSARTECH,1076,1.0,,NSE_EQ
GRMOVER,10871,1.0,,NSE_EQ
HDFCSILVER,10876,1.0,,NSE_EQ
TMB,10945,1.0,,NSE_EQ
INDORAMA,10993,1.0,,NSE_EQ
LIQUIDBEES,11006,1.0,,NSE_EQ
SHK,11212,1.0,,NSE_EQ
UCOBANK,11223,1.0,,NSE_EQ
SUVEN,11233,1.0,,NSE_EQ
WELSPUNLIV,11253,1.0,,NSE_EQ
IGL,11262,1.0,,NSE_EQ
APOLLO,1134,1.0,,NSE_EQ
DHANBANK,11359,1.0,,NSE_EQ
MAHABANK,11377,1.0,,NSE_EQ
PVTBANIETF,11386,1.0,,NSE_EQ
POONAWALLA,11403,1.0,,NSE_EQ
NIITLTD,11522,1.0,,NSE_EQ
EMIL,11530,1.0,,NSE_EQ
NARMADA,11627,1.0,,NSE_EQ
DWARKESH,11667,1.0,,NSE_EQ
PATELENG,11699,1.0,,NSE_EQ
SAKSOFT,11794,1.0,,NSE_EQ
IIFL,11809,1.0,,NSE_EQ
WELCORP,11821,1.0,,NSE_EQ
