time_readable,time,ltp,gammaFlip,imbalance,microprice,spread,flow,dS,IV,HV,callSkew,putSkew,netGEX,callGEX,putGEX,I1,I2,I3,symbol
2026-06-22T15:22:46.980742,1782121966,58352.0,58400.0,0.0,58358.90745192308,22.6015625,0.0,0.0,11.634997295961009,0.04112788446571649,-0.00038916894842981,0.00047911801897817374,825.0885,2724.4242,-1899.3357,0,0,0,BANKNIFTY
2026-06-22T15:22:52.177462,1782121972,58352.0,58400.0,-0.1724137931034483,58362.3861799569,20.6015625,-5.172413793103448,-0.11732219827536028,11.634997295961009,0.04112788446571649,-0.00038916894842981,0.00047911801897817374,825.0885,2724.4242,-1899.3357,-0.5589146075324459,3.0325743837858323,4.329904251316355,BANKNIFTY
2026-06-22T15:22:57.331293,1782121977,58352.0,58400.0,0.0,58355.958170572914,19.19921875,0.0,-3.0114808693906525,11.634997295961009,0.04112788446571649,-0.00038916894842981,0.00047911801897817374,825.0885,2724.4242,-1899.3357,2.001876999620752,2.124040276586754,0.6420025586579594,BANKNIFTY
2026-06-22T15:23:02.474056,1782121982,58352.0,58400.0,0.0,58358.788411458336,17.0,0.0,0.6770052083375049,11.608952593301286,0.04112788446571649,-0.00038811455424653815,0.0004772113538859123,827.3195999999998,2728.9482000000003,-1901.6286000000002,-0.2475700681425414,-0.013697611429478534,-2.5350261801581055,BANKNIFTY
2026-06-22T15:23:07.612942,1782121987,58352.0,58400.0,-0.1,58359.660546875,16.80078125,-3.0,-0.9810546875014552,11.608952593301286,0.04112788446571649,-0.00038811455424653815,0.0004772113538859123,827.3195999999998,2728.9482000000003,-1901.6286000000002,-0.22609376869874398,1.8123650778934284,2.3246629478444296,BANKNIFTY
2026-06-22T15:23:12.772344,1782121992,58360.0,58400.0,-0.05263157894736842,58358.18996710526,16.6015625,-1.5789473684210527,-3.1936591968260473,11.608952593301286,0.043321317877884374,-0.00038811455424653815,0.0004772113538859123,827.3195999999998,2728.9482000000003,-1901.6286000000002,0.8738464852652813,4.020944928299224,9.050422873128948,BANKNIFTY
2026-06-22T15:23:17.920128,1782121997,58352.0,58300.0,-0.15384615384615385,58358.48452524038,18.80078125,-4.615384615384616,0.0,11.678752558549792,0.04112788446571649,-0.0003924516745232001,0.0004797314674430719,818.2463999999999,2707.9184999999998,-1889.6721000000002,-0.8412709992806058,1.220711965396333,3.591925413318501,BANKNIFTY
2026-06-22T15:23:23.057757,1782122003,58352.0,58300.0,0.2222222222222222,58352.300130208336,18.80078125,6.666666666666666,0.0,11.678752558549792,0.04112788446571649,-0.0003924516745232001,0.0004797314674430719,818.2463999999999,2707.9184999999998,-1889.6721000000002,1.335569255941591,-0.060621453506695344,1.020487599798825,BANKNIFTY
2026-06-22T15:23:28.205856,1782122008,58352.0,58300.0,0.2,58351.7302734375,10.0,6.0,-2.8970348011425813,11.678752558549792,0.04112788446571649,-0.0003924516745232001,0.0004797314674430719,818.2463999999999,2707.9184999999998,-1889.6721000000002,2.231416610925066,2.0561285978467443,1.830559851986409,BANKNIFTY
2026-06-22T15:23:33.361592,1782122013,58352.0,58300.0,0.2,58351.1001953125,9.0,6.0,0.0,11.720299565744934,0.04112788446571649,-0.00039338262199410933,0.00048012062573147575,822.4307999999999,2707.3014,-1884.8706000000002,0.9964748565808368,-0.1383987226196952,-0.09104882847897211,BANKNIFTY
