symbol,year,month,quarter,open,high,low,close,percent_change,volume,trading_days,avg_daily_volume,up_days,down_days,unchanged_days,range,volatility,avg_true_range,avg_daily_range,highest_day,lowest_day,high_to_ltp_pct,low_to_ltp_pct
HITECH,2026,6,,87.09,97.17,82.3,87.99,1.033413709955209,17763980.0,21,845903.8095238095,13,7,0,14.870000000000005,0.16645433659735295,3.4252380952380954,3.3600000000000003,2026-06-23T00:00:00+05:30,2026-06-02T00:00:00+05:30,-9.586105785496786,7.183940453366419
KALYANKJIL,2026,6,,360.0,391.5,327.05,386.7,7.416666666666663,164954512.0,21,7854976.761904762,12,8,0,64.44999999999999,0.17597155227334776,14.42380952380952,13.788095238095236,2026-06-30T00:00:00+05:30,2026-06-11T00:00:00+05:30,-9.571788413098234,8.46627483907081
PETRONET,2026,6,,272.0,294.1,261.15,280.8,3.2352941176470633,72339971.0,21,3444760.523809524,9,11,0,32.950000000000045,0.11850183673993663,6.221428571428563,5.892857142857134,2026-06-17T00:00:00+05:30,2026-06-11T00:00:00+05:30,-5.98198198198199,5.8918918918919
MEESHO,2026,6,,184.25,195.48,160.52,192.4,4.42333785617368,793077047.0,21,37765573.666666664,9,11,0,34.95999999999998,0.20031432126252363,8.524761904761904,8.52,2026-06-30T00:00:00+05:30,2026-06-05T00:00:00+05:30,-3.1992397846056395,15.25710062295427
MPHASIS,2026,6,,2286.0,2430.5,2150.0,2161.6,-5.441819772528438,11756706.0,21,559843.1428571428,11,9,0,280.5,0.12232882686436983,73.41428571428571,67.45238095238095,2026-06-02T00:00:00+05:30,2026-06-19T00:00:00+05:30,-2.1862518393945765,9.606895101955013
GOLDIETF,2026,6,,133.12,137.46,117.64,120.1,-9.780649038461545,129709010.0,21,6176619.523809524,7,13,0,19.820000000000007,0.15636904627730322,4.096190476190476,3.4700000000000015,2026-06-16T00:00:00+05:30,2026-06-30T00:00:00+05:30,-11.73792879206634,4.373272638595347
SEIL,2026,6,,190.99,224.8,175.1,216.82,13.524268286297703,11065190.0,21,526913.8095238095,9,11,0,49.70000000000002,0.2484349337078385,10.39809523809524,10.088571428571427,2026-06-25T00:00:00+05:30,2026-06-08T00:00:00+05:30,1.2909458154035294,23.11407745674893
INDUSINDBK,2026,6,,917.75,953.5,881.0,924.2,0.7028057749931949,46010669.0,21,2190984.238095238,12,8,0,72.5,0.0791980836404589,24.17142857142856,23.459523809523798,2026-06-15T00:00:00+05:30,2026-06-08T00:00:00+05:30,7.116068384394326,14.178559251863032
ITETF,2026,6,,30.45,33.04,27.75,28.05,-7.881773399014774,16762638.0,21,798220.8571428572,6,14,0,5.289999999999999,0.1768245125348189,1.0695238095238095,1.0257142857142856,2026-06-02T00:00:00+05:30,2026-06-30T00:00:00+05:30,-11.772665764546687,6.123139377537208
PRESTIGE,2026,6,,1377.9,1580.6,1311.0,1564.6,13.549604470571145,15608219.0,21,743248.5238095238,14,6,0,269.5999999999999,0.18669375049463152,50.43809523809525,47.71428571428572,2026-06-23T00:00:00+05:30,2026-06-11T00:00:00+05:30,,
ICICIBANK,2026,6,,1257.1,1404.0,1213.7,1375.2,9.394638453583656,326444067.0,21,15544955.57142857,15,5,0,190.29999999999995,0.14479085523812973,26.519047619047612,25.328571428571422,2026-06-25T00:00:00+05:30,2026-06-03T00:00:00+05:30,1.0222065562213607,14.437786394078248
IRCTC,2026,6,,512.1,535.0,501.0,502.9,-1.7965241163835275,18476561.0,21,879836.2380952381,9,11,0,34.0,0.06571015746509723,9.852380952380951,9.53095238095238,2026-06-05T00:00:00+05:30,2026-06-30T00:00:00+05:30,,
RHIM,2026,6,,392.35,404.95,333.8,367.75,-6.269912068306365,19820372.0,21,943827.2380952381,8,12,0,71.14999999999998,0.18926467794033816,17.426190476190477,16.428571428571427,2026-06-04T00:00:00+05:30,2026-06-02T00:00:00+05:30,-5.332292885940955,13.174665105995572
ADANIENSOL,2026,6,,1521.8,1614.8,1445.0,1491.4,-1.9976343803390633,58581178.0,21,2789579.904761905,11,9,0,169.79999999999995,0.11220264317180613,51.79523809523808,50.61904761904762,2026-06-08T00:00:00+05:30,2026-06-03T00:00:00+05:30,1.5065568770966786,11.863372979566941
LENSKART,2026,6,,524.0,532.5,482.15,514.95,-1.7270992366412126,134100990.0,21,6385761.428571428,10,10,0,50.35000000000002,0.09897361733196673,14.599999999999993,14.509523809523804,2026-06-01T00:00:00+05:30,2026-06-24T00:00:00+05:30,0.6993006993006993,10.088578088578092
NBCC,2026,6,,101.7,114.29,99.06,104.93,3.176007866273357,419535624.0,21,19977886.85714286,9,11,0,15.230000000000004,0.14313653532876253,3.93047619047619,3.7990476190476183,2026-06-18T00:00:00+05:30,2026-06-01T00:00:00+05:30,-16.183795872725426,-0.7014333638304338
ENRIN,2026,6,,3900.0,3932.0,3373.7,3683.3,-5.556410256410252,10104131.0,21,481149.09523809527,9,11,0,558.3000000000002,0.15272677535122747,149.01904761904765,145.93333333333337,2026-06-01T00:00:00+05:30,2026-06-11T00:00:00+05:30,-15.988200589970504,0.48082595870207023
MBAPL,2026,6,,105.8,117.0,104.09,112.4,6.238185255198496,3867048.0,21,184145.14285714287,10,10,0,12.909999999999997,0.1158896801716694,3.6014285714285714,3.5766666666666667,2026-06-25T00:00:00+05:30,2026-06-02T00:00:00+05:30,-5.548037889039248,6.098331078033371
MFSL,2026,6,,1674.0,1713.6,1541.0,1584.0,-5.376344086021505,16443772.0,21,783036.7619047619,10,10,0,172.5999999999999,0.10677955616046093,47.10952380952384,45.30000000000002,2026-06-23T00:00:00+05:30,2026-06-03T00:00:00+05:30,,
VIDYAWIRES,2026,6,,109.84,115.78,84.84,99.62,-9.304442825928621,68749103.0,21,3273766.8095238097,9,11,0,30.939999999999998,0.31087592044133333,5.501904761904761,4.889047619047619,2026-06-02T00:00:00+05:30,2026-06-11T00:00:00+05:30,-18.09465524275805,13.463892288861693
THOMASCOOK,2026,6,,92.5,117.0,90.65,108.09,16.854054054054057,154896120.0,21,7376005.714285715,10,10,0,26.349999999999994,0.24757060023622882,5.4852380952380955,5.235714285714285,2026-06-18T00:00:00+05:30,2026-06-03T00:00:00+05:30,-9.869471311860273,14.874636116067228
RENUKA,2026,6,,23.01,24.89,21.05,22.13,-3.824424163407225,180528302.0,21,8596585.80952381,8,12,0,3.84,0.17027746104142916,0.7800000000000005,0.7495238095238099,2026-06-15T00:00:00+05:30,2026-06-03T00:00:00+05:30,-9.166666666666666,7.675438596491229
CAPACITE,2026,6,,226.0,287.0,211.0,253.73,12.269911504424774,11228952.0,21,534712.0,11,9,0,76.0,0.3243098256123482,11.312380952380947,10.772380952380948,2026-06-23T00:00:00+05:30,2026-06-11T00:00:00+05:30,-19.359534206695784,12.247868579746305
ICIL,2026,6,,324.0,446.05,315.0,438.25,35.26234567901235,41114262.0,21,1957822.0,8,12,0,131.05,0.3582395553328171,22.238095238095234,22.033333333333328,2026-06-30T00:00:00+05:30,2026-06-08T00:00:00+05:30,-5.4367096087932865,25.54071622739629
PHOENIXLTD,2026,6,,1773.2,1969.7,1675.0,1948.6,9.891721182043755,11390006.0,21,542381.2380952381,13,7,0,294.70000000000005,0.16236403419018688,54.771428571428565,53.97142857142857,2026-06-30T00:00:00+05:30,2026-06-03T00:00:00+05:30,4.969363631977603,19.18753316929608
UNOMINDA,2026,6,,1106.0,1153.9,1031.3,1087.8,-1.6455696202531689,18589423.0,21,885210.619047619,10,10,0,122.60000000000014,0.11219229478693238,37.400000000000006,36.22857142857143,2026-06-25T00:00:00+05:30,2026-06-12T00:00:00+05:30,,
MSCIINDIA,2026,6,,29.64,29.95,28.32,29.49,-0.5060728744939343,4093790.0,21,194942.38095238095,10,10,0,1.629999999999999,0.05578007365642209,0.5390476190476186,0.5099999999999996,2026-06-01T00:00:00+05:30,2026-06-04T00:00:00+05:30,0.4983388704319008,5.913621262458475
PIIND,2026,6,,2789.8,2921.9,2541.0,2555.1,-8.412789447272214,8074361.0,21,384493.38095238095,7,13,0,380.9000000000001,0.13810160150827688,76.24761904761908,75.06666666666672,2026-06-15T00:00:00+05:30,2026-06-30T00:00:00+05:30,,
KISSHT,2026,6,,273.95,302.5,252.5,279.5,2.0259171381639027,58630245.0,21,2791916.4285714286,10,10,0,50.0,0.18201990084249206,15.978571428571424,15.721428571428564,2026-06-22T00:00:00+05:30,2026-06-05T00:00:00+05:30,3.9530084140339703,19.8285442133672
PNB,2026,6,,106.5,110.5,102.67,106.69,0.17840375586854246,392559293.0,21,18693299.666666668,12,8,0,7.829999999999998,0.07303520507422112,2.320476190476189,2.2309523809523792,2026-06-10T00:00:00+05:30,2026-06-02T00:00:00+05:30,-6.547102497348381,1.0027962587985653
ASIANTILES,2026,6,,60.0,62.95,52.07,54.1,-9.833333333333332,59846328.0,21,2849825.1428571427,8,12,0,10.880000000000003,0.18647775129770505,2.2652380952380953,2.2261904761904767,2026-06-15T00:00:00+05:30,2026-06-30T00:00:00+05:30,-29.580074104569793,-7.184026348291482
DIGITIDE,2026,6,,87.0,93.48,80.52,84.89,-2.4252873563218382,5916514.0,21,281738.7619047619,8,12,0,12.960000000000008,0.15015972678168474,4.167142857142859,4.104285714285716,2026-06-18T00:00:00+05:30,2026-06-11T00:00:00+05:30,13.843317972350228,25.788018433179726
SUPREMEIND,2026,6,,3589.0,3685.7,3147.2,3157.8,-12.014488715519638,4214839.0,21,200706.61904761905,11,9,0,538.5,0.1539702638673311,98.60476190476196,94.68095238095243,2026-06-04T00:00:00+05:30,2026-06-30T00:00:00+05:30,,
PREMIERENE,2026,6,,1077.6,1103.9,1018.5,1051.0,-2.4684484038604224,25197074.0,21,1199860.6666666667,11,9,0,85.40000000000009,0.08043378811119194,33.06190476190476,32.93333333333334,2026-06-09T00:00:00+05:30,2026-06-29T00:00:00+05:30,,
SILVERCASE,2026,6,,26.99,26.99,21.5,22.54,-16.487587995553906,269145943.0,21,12816473.476190476,8,12,0,5.489999999999998,0.22582414353710845,0.9271428571428573,0.7361904761904761,2026-06-01T00:00:00+05:30,2026-06-25T00:00:00+05:30,-17.654751525719252,6.277244986922412
AEGISVOPAK,2026,6,,200.0,249.43,182.5,234.69,17.345,22422348.0,21,1067730.857142857,12,8,0,66.93,0.30869330311256366,10.450952380952382,9.896666666666667,2026-06-23T00:00:00+05:30,2026-06-08T00:00:00+05:30,9.265187340851208,33.6122226264096
TCS,2026,6,,2284.0,2457.4,2018.8,2031.5,-11.055166374781086,120106353.0,21,5719350.142857143,9,11,0,438.60000000000014,0.20193370165745864,67.17142857142858,58.2095238095238,2026-06-02T00:00:00+05:30,2026-06-30T00:00:00+05:30,-17.343138191194743,3.6004202081940537
SAKSOFT,2026,6,,144.49,212.47,135.2,206.71,43.061803585023185,236658998.0,21,11269476.095238095,10,10,0,77.27000000000001,0.5233237656013159,8.314761904761907,7.827619047619051,2026-06-30T00:00:00+05:30,2026-06-12T00:00:00+05:30,-20.803957243575166,23.12940641346373
ROLEXRINGS,2026,6,,141.15,150.0,135.0,149.58,5.972369819341131,23817599.0,21,1134171.380952381,13,7,0,15.0,0.10580482201277717,3.419523809523807,3.3190476190476157,2026-06-30T00:00:00+05:30,2026-06-04T00:00:00+05:30,-7.142857142857142,3.571428571428571
MAZDOCK,2026,6,,2464.9,2569.0,2315.1,2496.6,1.286056229461634,16942142.0,21,806768.6666666666,9,11,0,253.9000000000001,0.10333600141091565,66.72857142857146,63.452380952381,2026-06-18T00:00:00+05:30,2026-06-11T00:00:00+05:30,-1.4893532967249956,8.541065855489284
KPITTECH,2026,6,,776.05,826.0,669.35,671.55,-13.46562721474132,32034526.0,21,1525453.619047619,8,12,0,156.64999999999998,0.2084405216002838,26.952380952380956,25.919047619047628,2026-06-02T00:00:00+05:30,2026-06-30T00:00:00+05:30,-46.64891256102974,-18.837106080781187
PREMEXPLN,2026,6,,661.55,829.8,630.0,805.95,21.827526264076806,28734692.0,21,1368318.6666666667,12,8,0,199.79999999999995,0.278059060545011,46.002380952380946,45.09999999999999,2026-06-30T00:00:00+05:30,2026-06-03T00:00:00+05:30,-18.551325094649602,9.99357096935496
RAMCOSYS,2026,6,,457.9,868.7,440.5,836.05,82.58353352260319,89455034.0,21,4259763.523809524,14,6,0,428.20000000000005,0.7435441593556976,46.24523809523811,45.828571428571436,2026-06-30T00:00:00+05:30,2026-06-02T00:00:00+05:30,3.7558165300243718,51.196543319299806
TVSMOTOR,2026,6,,3382.0,3602.3,3265.6,3460.6,2.3240685984624454,24987946.0,21,1189902.1904761905,11,9,0,336.7000000000003,0.09888800468797429,82.70000000000003,80.54285714285719,2026-06-25T00:00:00+05:30,2026-06-12T00:00:00+05:30,,
NYKAA,2026,6,,262.65,312.9,257.8,310.85,18.351418237197812,196275445.0,21,9346449.761904761,10,10,0,55.099999999999966,0.1956725769221012,8.08095238095238,7.769047619047618,2026-06-30T00:00:00+05:30,2026-06-08T00:00:00+05:30,0.27091633466136184,17.83266932270916
INDHOTEL,2026,6,,663.0,740.0,635.0,713.95,7.684766214177986,55125899.0,21,2625042.8095238097,12,8,0,105.0,0.15263159716333657,15.928571428571434,15.095238095238106,2026-06-22T00:00:00+05:30,2026-06-02T00:00:00+05:30,0.5977567331587138,14.702129088588897
BSOFT,2026,6,,322.3,356.8,285.0,286.3,-11.169717654359292,36273164.0,21,1727293.5238095238,7,13,0,71.80000000000001,0.22566113414250863,11.838095238095239,11.057142857142859,2026-06-02T00:00:00+05:30,2026-06-30T00:00:00+05:30,-26.412754650132864,-0.9743135518157661
