symbol,year,month,quarter,open,high,low,close,percent_change,volume,trading_days,avg_daily_volume,up_days,down_days,unchanged_days,range,volatility,avg_true_range,avg_daily_range,highest_day,lowest_day,vpoc,vah,val,high_to_ltp_pct,low_to_ltp_pct,daily_open,daily_high,daily_low,ltp,day_buy_quantity,day_sell_quantity,day_volume
GODREJCP,2026,,2,1010.0,1148.0,967.05,1010.0,0.0,97988621.0,60,1633143.6833333333,31,28,0,180.95000000000005,0.17361713559710978,28.603333333333328,26.92333333333334,2026-04-24T00:00:00+05:30,2026-04-02T00:00:00+05:30,1033.0967500000002,1064.763,986.9544999999999,-5.47592796765894,11.149393605292184,1090.0,1099.4,1084.3,1088.4,9.0,0.0,257565.0
ADANIENSOL,2026,,2,953.95,1614.8,903.15,1491.4,56.33943078777713,208298604.0,59,3530484.813559322,33,25,0,711.65,0.5195592562619565,60.938135593220345,58.60169491525425,2026-06-08T00:00:00+05:30,2026-04-02T00:00:00+05:30,1497.37775,1586.3339999999998,1308.7905,2.3700120918984307,45.39600967351875,1635.0,1683.8,1621.2,1654.0,0.0,180.0,1603768.0
FEDERALBNK,2026,,2,266.45,331.8,256.5,330.05,23.869393882529565,745257721.0,60,12420962.016666668,36,22,1,75.30000000000001,0.25389724972744543,7.394999999999993,7.154999999999993,2026-06-30T00:00:00+05:30,2026-04-02T00:00:00+05:30,292.26750000000004,298.668,281.349,-0.591177808094585,22.237380627557986,330.3,332.5,327.85,329.85,3019.0,0.0,5400203.0
SYNGENE,2026,,2,395.05,518.55,380.0,439.5,11.251740286039738,131292585.0,60,2188209.75,27,32,0,138.54999999999995,0.31316514158921976,16.97833333333333,16.62666666666666,2026-04-30T00:00:00+05:30,2026-04-06T00:00:00+05:30,438.88374999999996,485.29799999999994,431.26349999999996,-23.361484477221346,9.599143570833833,417.6,423.85,415.4,420.35,821.0,0.0,627063.0
LUPIN,2026,,2,2346.0,2494.0,2170.1,2419.0,3.111679454390452,70908865.0,60,1181814.4166666667,29,30,0,323.9000000000001,0.14055658498270715,53.08166666666672,51.42166666666674,2026-05-07T00:00:00+05:30,2026-04-02T00:00:00+05:30,2272.1285,2341.767,2241.3579999999997,0.0921363618154942,13.067339662700808,2503.4,2521.8,2482.0,2496.3,0.0,34.0,568432.0
UNITDSPR,2026,,2,1262.5,1414.4,1210.8,1350.4,6.96237623762377,68520099.0,60,1142001.65,31,28,0,203.60000000000014,0.15713554355571918,31.631666666666682,29.850000000000016,2026-04-27T00:00:00+05:30,2026-04-07T00:00:00+05:30,1262.7179999999998,1332.96,1231.1599999999999,-2.0711553727358045,12.621779605975325,1384.9,1391.8,1375.7,1385.7,1098.0,0.0,568746.0
PNB,2026,,2,104.55,115.6,98.5,106.69,2.046867527498805,1251077254.0,60,20851287.566666666,30,29,0,17.099999999999994,0.158777567484335,2.657166666666667,2.4058333333333337,2026-04-22T00:00:00+05:30,2026-05-18T00:00:00+05:30,109.0165,111.496,103.117,-9.66701451475192,6.555355279385254,104.1,107.55,103.71,105.41,2385.0,0.0,27098775.0
OFSS,2026,,2,6950.0,11055.0,6705.0,10775.5,55.0431654676259,19992966.0,60,333216.1,36,23,0,4350.0,0.4750286882747085,316.9583333333333,302.2,2026-06-29T00:00:00+05:30,2026-04-02T00:00:00+05:30,9641.25,10489.5,8619.0,5.115440734700884,42.451291734615054,11340.0,11685.0,11249.0,11651.0,24.0,0.0,462353.0
UNIONBANK,2026,,2,171.0,197.13,156.21,172.43,0.8362573099415245,925293199.0,60,15421553.316666666,27,32,0,40.91999999999999,0.23825928650310432,5.148499999999998,4.723333333333331,2026-04-22T00:00:00+05:30,2026-05-20T00:00:00+05:30,169.50900000000001,177.8976,161.12040000000002,-19.828581849127715,5.045286000851002,157.8,165.5,157.6,164.51,14167.0,0.0,24598550.0
CANBK,2026,,2,128.02,146.89,121.79,125.52,-1.9528198718950274,1672327983.0,60,27872133.05,28,31,0,25.09999999999998,0.18780256039984725,3.8548333333333327,3.591499999999999,2026-04-22T00:00:00+05:30,2026-04-02T00:00:00+05:30,134.7165,136.599,126.308,-14.062742661904009,5.427861469172228,125.4,131.48,125.31,128.78,0.0,21.0,40706138.0
DIVISLAB,2026,,2,6002.0,6968.0,5647.5,6579.0,9.613462179273576,20720056.0,60,345334.26666666666,33,26,0,1320.5,0.20212044061898907,146.85,144.35833333333332,2026-05-15T00:00:00+05:30,2026-04-02T00:00:00+05:30,6723.7074999999995,6928.385,6466.21,-1.930953774136922,17.385898186073728,6870.0,6871.5,6775.0,6836.0,4.0,0.0,222860.0
IDFCFIRSTB,2026,,2,60.84,81.46,58.08,79.49,30.6541748849441,1598600159.0,60,26643335.983333334,37,22,0,23.379999999999995,0.33145333355386114,1.8358333333333337,1.7058333333333342,2026-06-22T00:00:00+05:30,2026-04-02T00:00:00+05:30,68.4841,74.6798,63.2236,-0.7794135840653167,28.14549053569219,79.9,81.37,79.79,80.83,0.0,9048.0,14703154.0
UPL,2026,,2,573.0,682.6,564.1,571.2,-0.3141361256544423,133822968.0,60,2230382.8,27,32,0,118.5,0.1878219521859728,16.820833333333336,16.1475,2026-05-11T00:00:00+05:30,2026-06-29T00:00:00+05:30,644.0875000000001,670.75,612.6850000000001,-14.770912147961331,5.15342580916351,585.0,599.8,585.0,594.75,500.0,0.0,872284.0
PETRONET,2026,,2,256.1,294.1,247.09,280.8,9.644670050761416,204273738.0,60,3404562.3,28,30,1,47.01000000000002,0.17137222331247942,7.276499999999994,6.702333333333329,2026-06-17T00:00:00+05:30,2026-04-02T00:00:00+05:30,269.88985,282.8176,263.0734,-5.431080838860023,11.42140168488976,279.8,282.8,277.95,278.95,50.0,0.0,715028.0
BIOCON,2026,,2,369.0,440.4,337.7,418.3,13.360433604336047,251555903.0,60,4192598.3833333333,33,26,0,102.69999999999999,0.26057502420954254,10.701666666666664,10.39083333333333,2026-05-26T00:00:00+05:30,2026-04-07T00:00:00+05:30,417.2925,440.4,366.45599999999996,-5.23297491039426,19.30704898446834,407.2,419.8,404.0,418.5,52.0,0.0,4324350.0
COFORGE,2026,,2,1150.0,1554.0,1130.0,1465.7,27.45217391304348,238553314.0,60,3975888.566666667,32,27,0,424.0,0.31588005001434133,52.28166666666669,48.15500000000004,2026-06-02T00:00:00+05:30,2026-04-02T00:00:00+05:30,1293.24,1431.04,1146.96,-3.338209868333558,24.857028860220773,1495.8,1523.0,1490.0,1503.8,0.0,284.0,2750522.0
PPLPHARMA,2026,,2,140.0,196.44,136.26,168.09,20.064285714285717,426542822.0,60,7109047.033333333,27,32,0,60.18000000000001,0.36740562260437964,6.454999999999998,6.339166666666666,2026-05-07T00:00:00+05:30,2026-04-02T00:00:00+05:30,166.0491,176.5806,158.5266,-10.882817791826598,23.086475502370742,172.9,177.91,171.72,177.16,0.0,19.0,5345065.0
ALKEM,2026,,2,5320.5,5789.0,5075.0,5570.0,4.6894088901419035,8589937.0,60,143165.61666666667,31,28,0,714.0,0.1319048770011654,145.73333333333332,142.44166666666666,2026-05-29T00:00:00+05:30,2026-04-02T00:00:00+05:30,5335.610000000001,5610.5,5296.34,-2.10776964458947,10.485933503836318,5699.0,5727.5,5635.0,5669.5,20.0,0.0,104124.0
AMBER,2026,,2,6656.0,8974.0,6120.0,7530.0,13.131009615384615,26199578.0,60,436659.63333333336,30,29,0,2854.0,0.3719006918299777,308.18333333333334,289.1,2026-05-07T00:00:00+05:30,2026-04-06T00:00:00+05:30,7846.67,8231.96,7204.52,-15.36187170587479,21.326648669494794,7636.0,7831.0,7614.5,7779.0,0.0,238.0,311170.0
