symbol,year,month,quarter,open,high,low,close,percent_change,volume,trading_days,avg_daily_volume,up_days,down_days,unchanged_days,range,volatility,avg_true_range,avg_daily_range,highest_day,lowest_day,vpoc,vah,val,high_to_ltp_pct,low_to_ltp_pct,daily_open,daily_high,daily_low,ltp,day_buy_quantity,day_sell_quantity,day_volume
TRENT,2026,6,,2822.88,3312.0,2680.0,3282.6,16.285495664002713,37617878.0,21,1791327.5238095238,11,9,0,632.0,0.21282938482333416,98.75857142857141,95.14428571428573,2026-06-29T00:00:00+05:30,2026-06-11T00:00:00+05:30,3169.8,3312.0,2844.32,-14.202958518671775,7.589393469190715,2884.0,2914.9,2862.5,2900.1,93.0,0.0,1111276.0
M&M,2026,6,,3050.0,3208.5,2900.4,3068.8,0.6163934426229567,69343430.0,21,3302068.095238095,12,8,0,308.0999999999999,0.10091524186529657,77.9285714285714,72.52380952380952,2026-06-25T00:00:00+05:30,2026-06-11T00:00:00+05:30,3114.5295,3165.366,2998.992,-1.5219592456651028,8.226806733324896,3088.8,3169.0,3082.0,3160.4,0.0,0.0,1770158.0
COALINDIA,2026,6,,456.55,484.45,432.0,439.05,-3.833096046435221,240858138.0,21,11469435.142857144,7,13,0,52.44999999999999,0.11531153324713801,10.709523809523814,10.602380952380956,2026-06-04T00:00:00+05:30,2026-06-25T00:00:00+05:30,466.35474999999997,483.9255,449.83299999999997,-12.610413761041375,-0.41841004184100683,429.0,431.9,425.0,430.2,1867.0,0.0,5650899.0
SBILIFE,2026,6,,1839.0,1846.4,1700.4,1765.7,-3.9858618814573115,23907248.0,21,1138440.380952381,9,11,0,146.0,0.0824475022386675,37.98571428571428,37.51904761904761,2026-06-01T00:00:00+05:30,2026-06-12T00:00:00+05:30,1765.3700000000001,1801.14,1735.44,0.5118810280726331,8.378684196346786,1850.0,1861.0,1832.1,1855.9,93.0,0.0,455380.0
MAXHEALTH,2026,6,,970.0,1159.0,919.8,1129.25,16.417525773195877,57915048.0,21,2757859.4285714286,15,5,0,239.20000000000005,0.2308402840008272,28.933333333333334,28.91666666666667,2026-06-29T00:00:00+05:30,2026-06-02T00:00:00+05:30,1007.108,1084.848,919.8,-4.773097089133968,16.850479117700242,1107.1,1118.0,1094.2,1106.2,15.0,0.0,1676981.0
ASIANPAINT,2026,6,,2732.6,2832.7,2607.9,2635.7,-3.5460733367488873,31407028.0,21,1495572.761904762,10,10,0,224.79999999999973,0.0835860852752295,56.82857142857146,54.61904761904764,2026-06-15T00:00:00+05:30,2026-06-02T00:00:00+05:30,2671.968,2718.052,2628.132,-6.809697975189469,1.6666038233852352,2650.5,2664.4,2630.1,2652.1,100.0,0.0,1107747.0
ONGC,2026,6,,266.55,271.15,227.65,234.9,-11.87394485087226,336214043.0,21,16010192.523809524,8,12,0,43.49999999999997,0.17353723404255306,5.77142857142857,5.666666666666665,2026-06-04T00:00:00+05:30,2026-06-30T00:00:00+05:30,243.9625,256.79499999999996,230.695,-9.136647212718852,8.371905816059563,246.3,249.25,245.55,248.45,0.0,7394.0,12453258.0
ADANIENT,2026,6,,2949.9,3105.0,2865.2,3036.0,2.918743008237564,41930356.0,21,1996683.619047619,13,7,0,239.80000000000018,0.0805032451961506,83.02380952380955,80.28571428571433,2026-06-25T00:00:00+05:30,2026-06-02T00:00:00+05:30,2955.125,3030.662,2920.354,2.2816679779701023,9.828481510621563,3127.3,3195.0,3115.2,3177.5,29.0,0.0,1599795.0
RELIANCE,2026,6,,1332.5,1344.9,1253.2,1293.9,-2.8968105065665974,350576163.0,21,16694103.0,9,11,0,91.70000000000005,0.07038763090081697,24.952380952380974,23.490476190476222,2026-06-22T00:00:00+05:30,2026-06-11T00:00:00+05:30,1322.4335,1333.8960000000002,1293.548,-3.7011334721258384,3.369573598581235,1300.0,1306.4,1295.0,1296.9,0.0,111.0,9487933.0
SBIN,2026,6,,966.25,1055.4,937.2,1026.9,6.276843467011653,296646304.0,21,14126014.476190476,13,7,0,118.20000000000005,0.11712744723319322,20.00238095238096,19.49285714285715,2026-06-25T00:00:00+05:30,2026-06-03T00:00:00+05:30,1038.261,1047.126,977.388,-1.7743490838958622,9.623915139826417,1023.5,1042.9,1022.1,1037.0,0.0,23.0,8381434.0
