symbol,year,month,quarter,open,high,low,close,percent_change,volume,trading_days,avg_daily_volume,up_days,down_days,unchanged_days,range,volatility,avg_true_range,avg_daily_range,highest_day,lowest_day,vpoc,vah,val,high_to_ltp_pct,low_to_ltp_pct
EXCELSOFT,2026,6,,90.5,91.5,73.55,74.67,-17.49171270718232,10244333.0,21,487825.38095238095,6,14,0,17.950000000000003,0.22189714850832376,3.0423809523809524,2.9833333333333343,2026-06-01T00:00:00+05:30,2026-06-30T00:00:00+05:30,79.92224999999999,84.679,74.44749999999999,-16.590214067278282,6.281855249745166
MANCREDIT,2026,6,,204.4,246.0,198.0,242.73,18.752446183953026,7198289.0,21,342775.6666666667,14,6,0,48.0,0.22106766030146788,11.855238095238096,11.354761904761906,2026-06-30T00:00:00+05:30,2026-06-04T00:00:00+05:30,217.92000000000002,226.8,204.72,-3.3917538771907676,16.782246879334263
MIDCAPETF,2026,6,,23.05,23.92,22.11,23.28,0.9978308026030386,46872648.0,21,2232030.8571428573,12,8,0,1.8100000000000023,0.0787706718614002,0.4595238095238093,0.4309523809523808,2026-06-23T00:00:00+05:30,2026-06-04T00:00:00+05:30,23.27745,23.5942,22.634900000000002,-2.441113490364027,5.310492505353327
M&M,2026,6,,3050.0,3208.5,2900.4,3068.8,0.6163934426229567,69343430.0,21,3302068.095238095,12,8,0,308.0999999999999,0.10091524186529657,77.9285714285714,72.52380952380952,2026-06-25T00:00:00+05:30,2026-06-11T00:00:00+05:30,3114.5295,3165.366,2998.992,-3.9897582161146015,5.995981072146237
CIPLA,2026,6,,1410.0,1490.1,1341.1,1465.4,3.9290780141844035,37008974.0,21,1762332.0952380951,12,8,0,149.0,0.1067269713279987,29.385714285714293,28.019047619047633,2026-06-29T00:00:00+05:30,2026-06-17T00:00:00+05:30,1382.0749999999998,1442.4199999999998,1345.57,-3.3858322347880354,6.952057170609869
IOLCP,2026,6,,130.0,147.2,121.55,145.29,11.761538461538455,71966717.0,21,3426986.523809524,11,9,0,25.64999999999999,0.194688314363888,7.820476190476189,7.574285714285713,2026-06-30T00:00:00+05:30,2026-06-01T00:00:00+05:30,132.70774999999998,139.24849999999998,127.70599999999999,12.459113886410952,27.713351174546542
LICHSGFIN,2026,6,,536.0,570.75,523.55,564.0,5.223880597014925,34504321.0,21,1643062.9047619049,8,12,0,47.200000000000045,0.08610183331234074,12.876190476190486,12.552380952380965,2026-06-15T00:00:00+05:30,2026-06-03T00:00:00+05:30,547.858,557.062,540.0699999999999,-5.733605038903306,3.01037421267136
BAJAJ-AUTO,2026,6,,10500.0,10619.0,9501.0,9716.0,-7.466666666666668,8261635.0,21,393411.1904761905,6,14,0,1118.0,0.11096616850523211,209.71428571428572,200.52380952380952,2026-06-01T00:00:00+05:30,2026-06-30T00:00:00+05:30,10255.65,10395.4,9925.84,-4.569177744953225,6.440177252584933
SUZLON,2026,6,,56.81,60.45,52.56,58.9,3.678929765886281,2063353928.0,21,98254948.95238096,11,9,0,7.890000000000001,0.1398168853634868,1.8338095238095244,1.7980952380952384,2026-06-19T00:00:00+05:30,2026-06-02T00:00:00+05:30,58.28025,59.8188,54.927,-12.569832402234638,2.122905027932962
MODEFENCE,2026,6,,101.11,107.99,96.35,104.67,3.520917812283654,50806784.0,21,2419370.6666666665,12,8,0,11.64,0.11477619018551823,2.8014285714285707,2.7699999999999996,2026-06-23T00:00:00+05:30,2026-06-02T00:00:00+05:30,105.0218,107.17519999999999,99.37639999999999,-5.510503175378604,5.862237420615536
PAGEIND,2026,6,,38100.0,41905.0,36585.0,41370.0,8.582677165354331,638054.0,21,30383.52380952381,13,7,0,5320.0,0.13595706618962433,1106.4285714285713,1078.5714285714287,2026-06-25T00:00:00+05:30,2026-06-02T00:00:00+05:30,40442.0,41745.4,38713.0,-3.176166440970085,9.922442447371662
EIEL,2026,6,,192.0,233.9,175.5,223.73,16.52604166666666,67738302.0,21,3225633.4285714286,12,8,0,58.400000000000006,0.2956812313300593,9.136666666666667,8.64857142857143,2026-06-22T00:00:00+05:30,2026-06-11T00:00:00+05:30,220.17600000000002,233.9,211.124,-2.412539953588169,23.157756469197423
FABTECH,2026,6,,157.7,165.0,141.61,156.29,-0.8941027266962566,7191621.0,21,342458.14285714284,6,14,0,23.389999999999986,0.15347577208133872,6.570476190476187,6.420952380952379,2026-06-16T00:00:00+05:30,2026-06-11T00:00:00+05:30,155.99485,161.2576,150.26430000000002,-2.9641185647425896,11.631825273010913
BEL,2026,6,,412.35,435.0,399.0,411.8,-0.13338183581908847,280108199.0,21,13338485.666666666,10,10,0,36.0,0.08719723183391004,9.078571428571427,8.892857142857142,2026-06-23T00:00:00+05:30,2026-06-08T00:00:00+05:30,408.54,417.36,402.96,-7.090103397341214,1.7725258493353002
DIXON,2026,6,,11600.0,12930.0,11153.0,11920.0,2.7586206896551726,11463534.0,21,545882.5714285715,9,11,0,1777.0,0.14991503328365224,373.85714285714283,359.8095238095238,2026-06-18T00:00:00+05:30,2026-06-03T00:00:00+05:30,11446.205,12290.28,11224.08,4.0587667878608,17.244193811679157
IOC,2026,6,,140.5,148.47,133.55,139.38,-0.7971530249110353,284792533.0,21,13561549.19047619,11,9,0,14.919999999999987,0.1058917762524206,3.3214285714285703,2.8190476190476197,2026-06-15T00:00:00+05:30,2026-06-11T00:00:00+05:30,145.113,148.47,138.6228,-7.384637639230442,3.4066251989006076
DHANBANK,2026,6,,33.0,35.17,31.02,31.57,-4.333333333333333,30660821.0,21,1460039.0952380951,9,11,0,4.150000000000002,0.12580114325307473,1.460476190476191,1.441904761904762,2026-06-03T00:00:00+05:30,2026-06-11T00:00:00+05:30,34.07025,34.7135,32.3895,-3.7769253467099473,8.468574800826206
JMFINANCIL,2026,6,,125.01,130.9,114.5,122.31,-2.1598272138228967,81292780.0,21,3871084.761904762,10,10,0,16.400000000000006,0.1333018528338256,4.900000000000001,4.708571428571429,2026-06-02T00:00:00+05:30,2026-06-02T00:00:00+05:30,125.24199999999999,128.276,119.584,-5.174353205849279,8.002571107183027
ADANIENT,2026,6,,2949.9,3105.0,2865.2,3036.0,2.918743008237564,41930356.0,21,1996683.619047619,13,7,0,239.80000000000018,0.0805032451961506,83.02380952380955,80.28571428571433,2026-06-25T00:00:00+05:30,2026-06-02T00:00:00+05:30,2955.125,3030.662,2920.354,-0.6939940329485047,7.082630691399666
