symbol,year,month,quarter,open,high,low,close,percent_change,volume,trading_days,avg_daily_volume,up_days,down_days,unchanged_days,range,volatility,avg_true_range,avg_daily_range,highest_day,lowest_day,vpoc,vah,val,high_to_ltp_pct,low_to_ltp_pct,daily_open,daily_high,daily_low,ltp,day_buy_quantity,day_sell_quantity,day_volume
BHARTIARTL,2026,6,,1830.0,1927.7,1768.6,1852.0,1.2021857923497268,153017540.0,21,7286549.523809524,11,9,0,159.10000000000014,0.08643741559604079,34.871428571428545,34.30476190476187,2026-06-23T00:00:00+05:30,2026-06-11T00:00:00+05:30,1847.3545,1870.424,1776.5549999999998,-0.3801291397625471,7.904603207665079,1930.0,1930.0,1906.0,1920.4,0.0,0.0,6420841.0
MARUTI,2026,6,,13200.0,14201.0,12700.0,14115.0,6.931818181818182,11184139.0,21,532578.0476190476,11,9,0,1501.0,0.11253802322094168,325.8095238095238,307.04761904761904,2026-06-30T00:00:00+05:30,2026-06-02T00:00:00+05:30,13382.955,13930.82,13120.28,-2.5046917857658437,8.329724267359607,13800.0,13987.0,13776.0,13854.0,0.0,0.0,430136.0
INDIGO,2026,6,,4525.0,5464.9,4350.0,5368.4,18.638674033149165,29363972.0,21,1398284.380952381,11,9,0,1114.8999999999996,0.23178495871254004,136.47619047619057,121.4047619047619,2026-06-25T00:00:00+05:30,2026-06-08T00:00:00+05:30,5314.388499999999,5464.9,4617.576,-2.8783885542168606,18.109939759036145,5260.0,5363.0,5260.0,5312.0,0.0,0.0,457997.0
LT,2026,6,,4089.0,4272.3,3854.4,4143.4,1.3303986304719893,41459839.0,21,1974278.0476190476,10,10,0,417.9000000000001,0.10262314098681184,80.65238095238084,70.83809523809511,2026-06-25T00:00:00+05:30,2026-06-11T00:00:00+05:30,4190.8095,4272.3,3963.054,-8.274621116123472,2.3163870444523313,3905.0,3953.8,3905.0,3945.8,0.0,0.0,1283746.0
ULTRACEMCO,2026,6,,11507.0,11674.0,10706.0,11253.0,-2.2073520465803425,7022993.0,21,334428.2380952381,7,13,0,968.0,0.08643959688735807,212.47619047619048,202.61904761904762,2026-06-25T00:00:00+05:30,2026-06-11T00:00:00+05:30,11369.08,11548.16,11015.76,0.383991808174759,8.644082259578461,11584.0,11725.0,11584.0,11719.0,6201.0,10728.0,135114.0
TCS,2026,6,,2284.0,2457.4,2018.8,2031.5,-11.055166374781086,120106353.0,21,5719350.142857143,9,11,0,438.60000000000014,0.20193370165745864,67.17142857142858,58.2095238095238,2026-06-02T00:00:00+05:30,2026-06-30T00:00:00+05:30,2143.8010000000004,2255.6440000000002,2058.274,-18.772353794103434,2.426292895118417,2105.2,2133.3,2064.6,2069.0,0.0,0.0,6711644.0
NTPC,2026,6,,386.9,389.0,346.95,356.65,-7.818557766864824,326451282.0,21,15545299.142857144,9,10,1,42.05000000000001,0.11685424482423235,8.088095238095242,7.98571428571429,2026-06-01T00:00:00+05:30,2026-06-15T00:00:00+05:30,355.57025,364.611,349.473,-12.900885212596137,-0.6965607313887613,344.5,348.8,343.2,344.55,0.0,0.0,13015558.0
JSWSTEEL,2026,6,,1279.5,1320.2,1221.5,1226.4,-4.1500586166471205,30481523.0,21,1451501.0952380951,9,11,0,98.70000000000005,0.07743924081373411,26.028571428571468,25.180952380952423,2026-06-15T00:00:00+05:30,2026-06-30T00:00:00+05:30,1290.0965,1314.278,1254.071,-5.870088211708103,2.0449077786688052,1232.3,1259.0,1232.3,1247.0,56904.0,111283.0,1504033.0
GRASIM,2026,6,,3151.4,3200.0,3034.9,3100.0,-1.6310211334644948,14434152.0,21,687340.5714285715,10,10,0,165.0999999999999,0.053006629077432976,57.30000000000003,55.152380952380945,2026-06-17T00:00:00+05:30,2026-06-08T00:00:00+05:30,3096.8125,3145.517,3074.524,0.42320139407517765,5.560741847149608,3204.8,3246.0,3202.0,3213.6,0.0,0.0,515663.0
HDFCBANK,2026,6,,749.0,806.1,732.3,797.95,6.53538050734313,772354220.0,21,36778772.38095238,13,7,0,73.80000000000007,0.09588981766209025,15.8952380952381,14.271428571428574,2026-06-30T00:00:00+05:30,2026-06-09T00:00:00+05:30,786.543,806.1,749.274,2.284986968907209,11.230983695981585,824.0,827.7,820.3,824.95,0.0,0.0,23592799.0
