symbol,year,month,quarter,open,high,low,close,percent_change,volume,trading_days,avg_daily_volume,up_days,down_days,unchanged_days,range,volatility,avg_true_range,avg_daily_range,highest_day,lowest_day
MOREPENLAB,2026,6,,43.77,60.5,42.5,59.12,35.0696824308887,342994313,21,16333062.5238095,9,11,0,18,0.362457809143909,3.01285714285714,2.93142857142857,2026-06-30T00:00:00+05:30,2026-06-08T00:00:00+05:30
ICIL,2026,6,,324,446.05,315,438.25,35.2623456790124,41114262,21,1957822,8,12,0,131.05,0.358239555332817,22.2380952380952,22.0333333333333,2026-06-30T00:00:00+05:30,2026-06-08T00:00:00+05:30
EMSLIMITED,2026,6,,296.05,453,286.1,411.3,38.9292349265327,55394345,21,2637825.95238095,12,8,0,166.9,0.488750061008346,22.4285714285714,21.4357142857143,2026-06-23T00:00:00+05:30,2026-06-02T00:00:00+05:30
NACLIND,2026,6,,157.65,238.7,150,220.76,40.0317158261973,53308269,21,2538489,10,10,0,88.7,0.499495865020541,13.6409523809524,13.3933333333333,2026-06-30T00:00:00+05:30,2026-06-03T00:00:00+05:30
TIRUPATIFL,2026,6,,45.05,66.8,42,64.07,42.219755826859,18030031,21,858572.904761905,12,8,0,24.8,0.52213666987488,3,2.94428571428571,2026-06-30T00:00:00+05:30,2026-06-08T00:00:00+05:30
BLUSPRING,2026,6,,78,119.5,76.01,111.02,42.3333333333333,37405817,21,1781229.38095238,11,9,0,43.49,0.448337309652146,8.12476190476191,7.78571428571429,2026-06-18T00:00:00+05:30,2026-06-01T00:00:00+05:30
SAKSOFT,2026,6,,144.49,212.47,135.2,206.71,43.0618035850232,236658998,21,11269476.0952381,10,10,0,77.27,0.523323765601316,8.31476190476191,7.82761904761905,2026-06-30T00:00:00+05:30,2026-06-12T00:00:00+05:30
CUPID,2026,6,,129.65,191,124.7,189.93,46.4944080215966,487344088,21,23206861.3333333,18,2,0,66.3,0.415164554017909,6.78619047619047,6.35095238095238,2026-06-30T00:00:00+05:30,2026-06-02T00:00:00+05:30
NIITLTD,2026,6,,67.9,110,67.56,100.62,48.1885125184094,126758870,21,6036136.66666667,11,9,0,42.44,0.444870393387143,7.62333333333333,7.48095238095238,2026-06-17T00:00:00+05:30,2026-06-01T00:00:00+05:30
JAYBARMARU,2026,6,,112,178.89,111.05,171.1,52.7678571428571,38210294,21,1819537.80952381,11,9,0,67.84,0.453203286792705,10.3842857142857,10.1019047619048,2026-06-19T00:00:00+05:30,2026-06-01T00:00:00+05:30
AEGISLOG,2026,6,,754,1195.95,747.55,1173.95,55.6962864721486,116627829,21,5553706.14285714,13,7,0,448.4,0.477838249286394,50.6190476190476,50.3428571428571,2026-06-30T00:00:00+05:30,2026-06-04T00:00:00+05:30
PARAS,2026,6,,825,1443,805.7,1289.05,56.2484848484849,139692934,21,6652044.47619048,12,8,0,637.3,0.571929787074924,82.3952380952381,80.2285714285714,2026-06-19T00:00:00+05:30,2026-06-02T00:00:00+05:30
VISL,2026,6,,20,35.66,19.06,35.26,76.3,1028097399,11,93463399.9090909,10,0,0,16.6,0.610436933774613,1.72272727272727,1.30272727272727,2026-06-30T00:00:00+05:30,2026-06-15T00:00:00+05:30
RAMCOSYS,2026,6,,457.9,868.7,440.5,836.05,82.5835335226032,89455034,21,4259763.52380952,14,6,0,428.2,0.743544159355698,46.2452380952381,45.8285714285714,2026-06-30T00:00:00+05:30,2026-06-02T00:00:00+05:30
SETL,2026,6,,133.51,256.77,132.3,256.77,92.3226724589918,32368420,21,1541353.33333333,14,6,0,124.47,0.705517018003185,12.532380952381,11.4647619047619,2026-06-30T00:00:00+05:30,2026-06-01T00:00:00+05:30
