symbol,year,month,quarter,open,high,low,close,percent_change,volume,trading_days,avg_daily_volume,up_days,down_days,unchanged_days,range,volatility,avg_true_range,avg_daily_range,highest_day,lowest_day,vpoc,vah,val
VIDYAWIRES,2026,,2,51.45,117.35,50.82,99.62,93.6248785228377,412243620.0,60,6870727.0,34,25,0,66.53,0.7562647892980898,5.813166666666666,5.3935,2026-05-29T00:00:00+05:30,2026-04-02T00:00:00+05:30,89.07475,105.3746,76.7667
THOMASCOOK,2026,,2,94.0,117.0,88.0,108.09,14.989361702127663,210957015.0,60,3515950.25,28,31,0,29.0,0.28769555857580775,4.7633333333333345,4.502500000000001,2026-06-18T00:00:00+05:30,2026-05-13T00:00:00+05:30,108.155,116.13,97.57
RENUKA,2026,,2,28.0,30.3,21.05,22.13,-20.96428571428572,601475182.0,60,10024586.366666667,21,38,0,9.25,0.3663874200384211,0.9621666666666666,0.9294999999999998,2026-05-06T00:00:00+05:30,2026-06-03T00:00:00+05:30,28.21875,30.3,23.5475
CAPACITE,2026,,2,210.0,287.0,204.02,253.73,20.82380952380952,25144687.0,60,419078.11666666664,29,29,1,82.97999999999999,0.3509622772649924,11.112499999999995,10.626499999999995,2026-06-23T00:00:00+05:30,2026-04-02T00:00:00+05:30,226.0097,257.957,214.8074
ICIL,2026,,2,259.0,446.05,238.15,438.25,69.20849420849422,58121001.0,60,968683.35,33,26,0,207.9,0.6714003061507888,16.02233333333333,15.636833333333328,2026-06-30T00:00:00+05:30,2026-04-02T00:00:00+05:30,395.1145,443.971,317.15200000000004
PHOENIXLTD,2026,,2,1529.5,1969.7,1466.2,1948.6,27.401111474338013,30932606.0,60,515543.43333333335,33,26,0,503.5,0.28382160482750385,54.47999999999999,52.62666666666667,2026-06-30T00:00:00+05:30,2026-04-02T00:00:00+05:30,1780.8875,1848.8600000000001,1682.705
UNOMINDA,2026,,2,1061.0,1189.7,1003.3,1087.8,2.5259189443920786,60007814.0,60,1000130.2333333333,29,30,0,186.4000000000001,0.16941963474193206,38.42166666666669,36.873333333333356,2026-05-08T00:00:00+05:30,2026-04-02T00:00:00+05:30,1112.344,1141.236,1064.812
MSCIINDIA,2026,,2,28.0,30.24,26.62,29.49,5.321428571428566,15761618.0,60,262693.63333333336,32,27,0,3.6199999999999974,0.12399595814280079,0.6103333333333332,0.5724999999999999,2026-05-11T00:00:00+05:30,2026-04-02T00:00:00+05:30,29.1721,29.516,28.791999999999998
PIIND,2026,,2,2758.7,3194.1,2541.0,2555.1,-7.380287816725266,23282832.0,60,388047.2,29,30,0,653.0999999999999,0.22470621494520546,87.31,82.16000000000004,2026-05-19T00:00:00+05:30,2026-06-30T00:00:00+05:30,2857.7535,2965.515,2560.593
KISSHT,2026,,2,190.0,302.5,190.0,279.5,47.10526315789474,218275775.0,36,6063215.972222222,18,17,0,112.5,0.4402097354828612,17.870833333333323,17.511944444444435,2026-06-22T00:00:00+05:30,2026-05-08T00:00:00+05:30,205.1875,262.0,190.0
PNB,2026,,2,104.55,115.6,98.5,106.69,2.046867527498805,1251077254.0,60,20851287.566666666,30,29,0,17.099999999999994,0.158777567484335,2.657166666666667,2.4058333333333337,2026-04-22T00:00:00+05:30,2026-05-18T00:00:00+05:30,109.0165,111.496,103.117
ASIANTILES,2026,,2,58.99,79.06,52.07,54.1,-8.289540600101713,267941488.0,60,4465691.466666667,29,30,0,26.990000000000002,0.4276050000792154,3.0523333333333325,2.983333333333333,2026-04-21T00:00:00+05:30,2026-06-30T00:00:00+05:30,60.03205,74.2018,56.6583
DIGITIDE,2026,,2,77.64,107.0,74.0,84.89,9.33797011849562,29538567.0,60,492309.45,27,32,0,33.0,0.36689699644776996,4.877500000000001,4.816166666666667,2026-05-11T00:00:00+05:30,2026-04-02T00:00:00+05:30,86.045,97.43,83.57
SUPREMEIND,2026,,2,3779.9,3941.4,3147.2,3157.8,-16.458107357337493,15184513.0,60,253075.21666666667,27,32,0,794.2000000000003,0.22126866832498995,107.49833333333339,105.67333333333342,2026-04-08T00:00:00+05:30,2026-06-30T00:00:00+05:30,3659.459,3774.618,3512.532
PREMIERENE,2026,,2,911.0,1103.9,884.05,1051.0,15.367727771679473,116316344.0,60,1938605.7333333334,35,24,0,219.85000000000014,0.2157050477532156,33.22666666666667,32.36083333333333,2026-06-09T00:00:00+05:30,2026-04-01T00:00:00+05:30,1006.06675,1057.7315,963.196
SILVERCASE,2026,,2,22.93,29.28,21.5,22.54,-1.7008286088094224,849221998.0,60,14153699.966666667,29,29,1,7.780000000000001,0.31165293559973833,0.9794999999999999,0.8293333333333331,2026-05-14T00:00:00+05:30,2026-06-25T00:00:00+05:30,24.4175,26.6348,22.4336
AEGISVOPAK,2026,,2,166.0,249.43,160.91,234.69,41.37951807228916,56764728.0,60,946078.8,35,24,0,88.52000000000001,0.43558740575682,9.5165,9.117166666666666,2026-06-23T00:00:00+05:30,2026-04-02T00:00:00+05:30,196.7606,221.1036,184.8104
TCS,2026,,2,2429.0,2614.0,2018.8,2031.5,-16.36475916014821,296053956.0,60,4934232.6,27,32,0,595.2,0.25489145058730245,62.45166666666669,56.253333333333345,2026-04-21T00:00:00+05:30,2026-06-30T00:00:00+05:30,2319.376,2560.432,2191.408
SAKSOFT,2026,,2,115.85,212.47,114.74,206.71,78.42900302114805,255073148.0,60,4251219.133333334,29,30,0,97.73,0.6841074916058641,7.6573333333333355,7.367166666666668,2026-06-30T00:00:00+05:30,2026-04-01T00:00:00+05:30,187.54885000000002,212.47,169.4688
ROLEXRINGS,2026,,2,115.25,176.0,113.0,149.58,29.787418655097625,297567906.0,60,4959465.1,35,24,0,63.0,0.44466298545316807,5.528166666666667,5.234500000000001,2026-04-22T00:00:00+05:30,2026-04-02T00:00:00+05:30,153.005,162.77,143.87
MAZDOCK,2026,,2,2150.0,2810.0,2120.0,2496.6,16.120930232558138,90930979.0,60,1515516.3166666667,33,26,0,690.0,0.2752714482336749,78.02500000000005,73.43500000000003,2026-04-29T00:00:00+05:30,2026-04-01T00:00:00+05:30,2461.55,2706.5,2382.2
KPITTECH,2026,,2,650.7,826.0,648.8,671.55,3.2042415859843105,122710657.0,60,2045177.6166666667,32,27,0,177.20000000000005,0.23962730651424766,27.39916666666667,26.51416666666667,2026-06-02T00:00:00+05:30,2026-04-01T00:00:00+05:30,732.97,767.524,705.504
PREMEXPLN,2026,,2,399.9,829.8,399.2,805.95,101.5378844711178,65807449.0,60,1096790.8166666667,37,22,0,430.59999999999997,0.7191509142480174,36.63000000000001,35.82666666666667,2026-06-30T00:00:00+05:30,2026-04-01T00:00:00+05:30,741.527,803.9639999999999,636.03
RAMCOSYS,2026,,2,350.5,868.7,346.55,836.05,138.53067047075604,99821341.0,60,1663689.0166666666,33,26,0,522.1500000000001,1.1062988302802914,28.688333333333336,28.026666666666667,2026-06-30T00:00:00+05:30,2026-04-02T00:00:00+05:30,714.6657500000001,868.7,576.296
TVSMOTOR,2026,,2,3434.7,3850.5,3228.0,3460.6,0.754068768742542,67183645.0,60,1119727.4166666667,28,31,0,622.5,0.17793280666492942,101.39833333333337,94.68500000000004,2026-04-10T00:00:00+05:30,2026-05-19T00:00:00+05:30,3461.4375,3545.475,3296.475
NYKAA,2026,,2,241.0,312.9,233.01,310.85,28.983402489626563,408877244.0,60,6814620.733333333,34,25,0,79.88999999999999,0.29536871176871843,7.839833333333331,7.624666666666664,2026-06-30T00:00:00+05:30,2026-04-02T00:00:00+05:30,265.36545,300.9165,257.7759
INDHOTEL,2026,,2,597.0,740.0,565.0,713.95,19.589614740368518,156848257.0,60,2614137.6166666667,35,24,0,175.0,0.2651371200806017,17.294166666666673,16.18583333333334,2026-06-22T00:00:00+05:30,2026-04-02T00:00:00+05:30,656.875,680.5,621.0
BSOFT,2026,,2,342.85,399.85,285.0,286.3,-16.494093626950566,79489103.0,60,1324818.3833333333,26,33,0,114.85000000000002,0.33558158221529627,12.693333333333326,11.967499999999998,2026-04-21T00:00:00+05:30,2026-06-30T00:00:00+05:30,326.92025,365.39500000000004,305.673
PARADEEP,2026,,2,111.01,140.4,109.22,136.03,22.538510044140164,352291225.0,60,5871520.416666667,31,28,0,31.180000000000007,0.24550150124929143,4.925333333333333,4.806833333333334,2026-06-22T00:00:00+05:30,2026-04-01T00:00:00+05:30,123.0951,133.5404,120.4448
ARFIN,2026,,2,75.1,106.2,74.01,85.8,14.247669773635158,138960664.0,60,2316011.066666667,34,25,0,32.19,0.3519436715192398,4.787166666666667,4.680500000000001,2026-05-12T00:00:00+05:30,2026-04-02T00:00:00+05:30,95.73825000000001,98.4744,86.5641
MANINFRA,2026,,2,81.59,138.69,80.3,104.18,27.687216570658173,143559454.0,60,2392657.566666667,32,27,0,58.39,0.5270125126736325,5.309,5.161166666666667,2026-05-08T00:00:00+05:30,2026-04-02T00:00:00+05:30,116.20985,127.012,105.40769999999999
IKIO,2026,,2,111.1,181.9,110.83,151.85,36.67866786678668,34428326.0,60,573805.4333333333,30,29,0,71.07000000000001,0.4655804360572078,7.5315,7.1835,2026-05-08T00:00:00+05:30,2026-04-01T00:00:00+05:30,171.59485,177.63580000000002,158.4469
VAML,2026,,2,522.0,537.0,425.0,448.46,-14.08812260536399,264334772.0,11,24030433.818181816,4,6,0,112.0,0.24253018831524203,28.857272727272722,25.855454545454542,2026-06-15T00:00:00+05:30,2026-06-29T00:00:00+05:30,471.48,478.76,447.4
ABFRL,2026,,2,55.5,69.09,55.22,58.06,4.612612612612617,318027501.0,60,5300458.35,27,32,0,13.870000000000005,0.22268008134432205,2.331833333333334,2.223,2026-05-07T00:00:00+05:30,2026-04-02T00:00:00+05:30,64.58225,67.703,60.4906
BHARATCOAL,2026,,2,31.0,44.4,30.78,39.33,26.87096774193548,2044787010.0,60,34079783.5,28,31,0,13.619999999999997,0.37360788544885976,1.6816666666666669,1.6316666666666664,2026-06-18T00:00:00+05:30,2026-04-01T00:00:00+05:30,38.8839,42.2208,36.0918
NESTLEIND,2026,,2,1174.8,1498.1,1159.4,1405.2,19.61184882533198,133870728.0,60,2231178.8,32,27,0,338.6999999999998,0.24468359216029997,31.8716666666667,31.50333333333337,2026-05-11T00:00:00+05:30,2026-04-02T00:00:00+05:30,1408.3445,1467.617,1376.168
HDFCGOLD,2026,,2,128.2,138.99,117.32,119.76,-6.583463338533529,300396722.0,60,5006612.033333333,26,32,1,21.670000000000016,0.1684327797497216,2.565166666666667,2.1316666666666655,2026-05-13T00:00:00+05:30,2026-06-30T00:00:00+05:30,128.48005,132.0556,122.0874
360ONE,2026,,2,966.05,1165.1,906.05,1074.6,11.236478443144762,69356083.0,60,1155934.7166666666,30,29,0,259.04999999999995,0.2410885045936023,33.75166666666667,32.19333333333334,2026-06-16T00:00:00+05:30,2026-04-07T00:00:00+05:30,1078.3182499999998,1136.6045,1038.1654999999998
GODREJCP,2026,,2,1010.0,1148.0,967.05,1010.0,0.0,97988621.0,60,1633143.6833333333,31,28,0,180.95000000000005,0.17361713559710978,28.603333333333328,26.92333333333334,2026-04-24T00:00:00+05:30,2026-04-02T00:00:00+05:30,1033.0967500000002,1064.763,986.9544999999999
